algoritmo,origem,destino,encontrou_caminho,caminho,custo_total,num_nos_caminho,num_nos_visitados,num_iteracoes,tempo_execucao,nos_expandidos,tempo_execucao_medio,tempo_desvio_padrao,num_execucoes
BFS,H,J,True,H -[7.00]-> I -[25.00]-> M -[31.00]-> J,63,4,10,3,3.361701965332031e-05,10,3.5715103149414065e-05,2.032859205941411e-06,5
DFS,H,J,True,H -[7.00]-> I -[25.00]-> B -[14.00]-> C -[18.00]-> F -[23.00]-> K -[11.00]-> J,98,7,10,6,4.458427429199219e-05,10,4.172325134277344e-05,1.8544613344793373e-06,5
B.Gananciosa,H,J,True,H -[7.00]-> I -[25.00]-> M -[31.00]-> J,63,4,5,3,3.4809112548828125e-05,5,3.566741943359375e-05,3.3489112471424833e-06,5
AEstrela,H,J,True,H -[r:7.00+56.00 | h:7.00+43.86]-> I -[r:25.00+31.00 | h:25.00+30.19]-> M -[r:31.00 | h:30.19]-> J,63,4,6,3,4.2438507080078125e-05,6,4.029273986816406e-05,4.129530924722856e-06,5
Dijkstra,H,J,True,H -[7.00]-> I -[25.00]-> M -[31.00]-> J,63,4,11,3,9.012222290039062e-05,11,5.369186401367187e-05,2.0690557172887282e-05,5
