algoritmo,origem,destino,encontrou_caminho,caminho,custo_total,num_nos_caminho,num_nos_visitados,num_iteracoes,tempo_execucao,nos_expandidos,tempo_execucao_medio,tempo_desvio_padrao,num_execucoes
BFS,L,K,True,L -[15.00]-> H -[7.00]-> I -[25.00]-> M -[20.00]-> K,67,5,11,4,3.886222839355469e-05,11,3.886222839355469e-05,3.167469562431913e-06,5
DFS,L,K,True,L -[15.00]-> H -[7.00]-> I -[25.00]-> B -[14.00]-> C -[18.00]-> F -[23.00]-> K,102,7,9,6,4.267692565917969e-05,9,4.2390823364257815e-05,2.6247709168477794e-06,5
B.Gananciosa,L,K,True,L -[15.00]-> H -[7.00]-> I -[25.00]-> M -[20.00]-> K,67,5,5,4,4.00543212890625e-05,5,4.200935363769531e-05,6.197507412197906e-06,5
A*,L,K,True,L -[r:15.00+52.00 | h:15.00+33.77]-> H -[r:7.00+45.00 | h:7.00+33.96]-> I -[r:25.00+20.00 | h:25.00+19.45]-> M -[r:20.00 | h:19.45]-> K,67,5,6,4,3.886222839355469e-05,6,4.2057037353515626e-05,4.670814078806618e-06,5
Dijkstra,L,K,True,L -[15.00]-> H -[7.00]-> I -[25.00]-> M -[20.00]-> K,67,5,9,4,5.6743621826171875e-05,9,5.6171417236328124e-05,1.797540113128191e-05,5
