algoritmo,origem,destino,encontrou_caminho,caminho,custo_total,num_nos_caminho,num_nos_visitados,num_iteracoes,tempo_execucao,nos_expandidos,tempo_execucao_medio,tempo_desvio_padrao,num_execucoes
BFS,A,J,True,A -[20.00]-> H -[7.00]-> I -[25.00]-> M -[31.00]-> J,83,5,10,4,5.4836273193359375e-05,10,5.435943603515625e-05,8.65397043842389e-06,5
DFS,A,J,True,A -[20.00]-> H -[7.00]-> I -[25.00]-> B -[14.00]-> C -[18.00]-> F -[23.00]-> K -[11.00]-> J,118,8,10,7,7.843971252441406e-05,10,6.308555603027344e-05,9.53167542278006e-06,5
B.Gananciosa,A,J,True,A -[11.00]-> L -[15.00]-> H -[7.00]-> I -[25.00]-> M -[31.00]-> J,89,6,6,5,4.1484832763671875e-05,6,5.9938430786132814e-05,2.164336494513149e-05,5
AEstrela,A,J,True,A -[r:20.00+63.00 | h:20.00+44.99]-> H -[r:7.00+56.00 | h:7.00+43.86]-> I -[r:25.00+31.00 | h:25.00+30.19]-> M -[r:31.00 | h:30.19]-> J,83,5,7,4,5.269050598144531e-05,7,5.53131103515625e-05,4.681147078531232e-06,5
Dijkstra,A,J,True,A -[20.00]-> H -[7.00]-> I -[25.00]-> M -[31.00]-> J,83,5,11,4,7.486343383789062e-05,11,7.004737854003907e-05,8.278653883360278e-06,5
