ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
HashTable(100|chaining|fnv1a),4000,comparisons,107600.4,5,404.15257,"[107261.0, 107762.0, 108235.0, 107422.0, 107322.0]"
HashTable(100|chaining|fnv1a),5000,comparisons,168524.8,5,543.34676,"[168361.0, 167750.0, 168423.0, 169012.0, 169078.0]"
HashTable(100|chaining|fnv1a),6000,comparisons,243750.0,5,361.80243,"[243803.0, 243423.0, 243954.0, 244215.0, 243355.0]"
HashTable(100|chaining|fnv1a),7000,comparisons,332150.8,5,638.53716,"[332158.0, 331802.0, 332234.0, 331423.0, 333137.0]"
HashTable(100|chaining|fnv1a),8000,comparisons,431353.8,5,693.66685,"[430273.0, 432079.0, 431471.0, 431780.0, 431166.0]"
HashTable(100|chaining|fnv1a),9000,comparisons,545869.4,5,1334.6791,"[547433.0, 544441.0, 544785.0, 547056.0, 545632.0]"
HashTable(100|chaining|fnv1a),10000,comparisons,675443.0,5,1321.23938,"[676355.0, 674501.0, 676844.0, 673671.0, 675844.0]"
HashTable(100|chaining|poly31),1000,comparisons,6552.8,5,42.32848,"[6602.0, 6540.0, 6495.0, 6541.0, 6586.0]"
HashTable(100|chaining|poly31),2000,comparisons,26544.6,5,154.04804,"[26320.0, 26525.0, 26750.0, 26540.0, 26588.0]"
HashTable(100|chaining|poly31),3000,comparisons,59755.2,5,259.04961,"[60204.0, 59706.0, 59535.0, 59667.0, 59664.0]"
HashTable(100|chaining|poly31),4000,comparisons,106526.2,5,362.58475,"[106513.0, 107155.0, 106372.0, 106289.0, 106302.0]"
HashTable(100|chaining|poly31),5000,comparisons,166292.6,5,464.46184,"[165678.0, 166522.0, 166512.0, 166806.0, 165945.0]"
HashTable(100|chaining|poly31),6000,comparisons,240203.4,5,711.21115,"[239755.0, 241044.0, 239602.0, 239703.0, 240913.0]"
HashTable(100|chaining|poly31),7000,comparisons,327429.2,5,897.71694,"[328256.0, 327811.0, 326044.0, 327038.0, 327997.0]"
HashTable(100|chaining|poly31),8000,comparisons,428562.8,5,1717.23403,"[431045.0, 429006.0, 426285.0, 428380.0, 428098.0]"
HashTable(100|chaining|poly31),9000,comparisons,541430.2,5,1898.60243,"[542198.0, 542490.0, 539438.0, 539424.0, 543601.0]"
HashTable(100|chaining|poly31),10000,comparisons,670262.4,5,858.86483,"[669318.0, 670067.0, 670139.0, 670117.0, 671671.0]"
HashTable(150|chaining|djb2),1000,comparisons,4521.2,5,41.53553,"[4496.0, 4547.0, 4501.0, 4481.0, 4581.0]"
HashTable(150|chaining|djb2),2000,comparisons,17999.2,5,142.84852,"[17865.0, 18102.0, 18088.0, 18118.0, 17823.0]"
HashTable(150|chaining|djb2),3000,comparisons,40366.0,5,133.25727,"[40349.0, 40198.0, 40482.0, 40285.0, 40516.0]"
HashTable(150|chaining|djb2),4000,comparisons,71971.6,5,350.88645,"[71915.0, 71582.0, 72528.0, 72021.0, 71812.0]"
HashTable(150|chaining|djb2),5000,comparisons,113205.0,5,229.24114,"[113528.0, 113241.0, 113259.0, 113089.0, 112908.0]"
