ds_name,instances,metric,mean_per_round,rounds,std_per_round,values
HashTable(150|chaining|fnv1a),6000,hash_bucket_len_after,126284.0,5,0.0,"[126284.0, 126284.0, 126284.0, 126284.0, 126284.0]"
HashTable(150|chaining|fnv1a),7000,hash_bucket_len_after,169758.0,5,0.0,"[169758.0, 169758.0, 169758.0, 169758.0, 169758.0]"
HashTable(150|chaining|fnv1a),8000,hash_bucket_len_after,219990.0,5,0.0,"[219990.0, 219990.0, 219990.0, 219990.0, 219990.0]"
HashTable(150|chaining|fnv1a),9000,hash_bucket_len_after,278214.0,5,0.0,"[278214.0, 278214.0, 278214.0, 278214.0, 278214.0]"
HashTable(150|chaining|fnv1a),10000,hash_bucket_len_after,344206.0,5,0.0,"[344206.0, 344206.0, 344206.0, 344206.0, 344206.0]"
HashTable(150|chaining|poly31),1000,hash_bucket_len_after,6042.0,5,0.0,"[6042.0, 6042.0, 6042.0, 6042.0, 6042.0]"
HashTable(150|chaining|poly31),2000,hash_bucket_len_after,23019.0,5,0.0,"[23019.0, 23019.0, 23019.0, 23019.0, 23019.0]"
HashTable(150|chaining|poly31),3000,hash_bucket_len_after,50646.0,5,0.0,"[50646.0, 50646.0, 50646.0, 50646.0, 50646.0]"
HashTable(150|chaining|poly31),4000,hash_bucket_len_after,88449.0,5,0.0,"[88449.0, 88449.0, 88449.0, 88449.0, 88449.0]"
HashTable(150|chaining|poly31),5000,hash_bucket_len_after,135792.0,5,0.0,"[135792.0, 135792.0, 135792.0, 135792.0, 135792.0]"
HashTable(150|chaining|poly31),6000,hash_bucket_len_after,191928.0,5,0.0,"[191928.0, 191928.0, 191928.0, 191928.0, 191928.0]"
HashTable(150|chaining|poly31),7000,hash_bucket_len_after,256006.0,5,0.0,"[256006.0, 256006.0, 256006.0, 256006.0, 256006.0]"
HashTable(150|chaining|poly31),8000,hash_bucket_len_after,327134.0,5,0.0,"[327134.0, 327134.0, 327134.0, 327134.0, 327134.0]"
HashTable(150|chaining|poly31),9000,hash_bucket_len_after,404414.0,5,0.0,"[404414.0, 404414.0, 404414.0, 404414.0, 404414.0]"
HashTable(150|chaining|poly31),10000,hash_bucket_len_after,486979.0,5,0.0,"[486979.0, 486979.0, 486979.0, 486979.0, 486979.0]"
HashTable(50|chaining|djb2),1000,hash_bucket_len_after,10616.0,5,0.0,"[10616.0, 10616.0, 10616.0, 10616.0, 10616.0]"
HashTable(50|chaining|djb2),2000,hash_bucket_len_after,41189.0,5,0.0,"[41189.0, 41189.0, 41189.0, 41189.0, 41189.0]"
HashTable(50|chaining|djb2),3000,hash_bucket_len_after,91614.0,5,0.0,"[91614.0, 91614.0, 91614.0, 91614.0, 91614.0]"
HashTable(50|chaining|djb2),4000,hash_bucket_len_after,162096.0,5,0.0,"[162096.0, 162096.0, 162096.0, 162096.0, 162096.0]"
HashTable(50|chaining|djb2),5000,hash_bucket_len_after,252590.0,5,0.0,"[252590.0, 252590.0, 252590.0, 252590.0, 252590.0]"
HashTable(50|chaining|djb2),6000,hash_bucket_len_after,363131.0,5,0.0,"[363131.0, 363131.0, 363131.0, 363131.0, 363131.0]"
HashTable(50|chaining|djb2),7000,hash_bucket_len_after,493734.0,5,0.0,"[493734.0, 493734.0, 493734.0, 493734.0, 493734.0]"
HashTable(50|chaining|djb2),8000,hash_bucket_len_after,644159.0,5,0.0,"[644159.0, 644159.0, 644159.0, 644159.0, 644159.0]"
HashTable(50|chaining|djb2),9000,hash_bucket_len_after,814566.0,5,0.0,"[814566.0, 814566.0, 814566.0, 814566.0, 814566.0]"
HashTable(50|chaining|djb2),10000,hash_bucket_len_after,1005185.0,5,0.0,"[1005185.0, 1005185.0, 1005185.0, 1005185.0, 1005185.0]"
HashTable(50|chaining|fnv1a),1000,hash_bucket_len_after,10916.0,5,0.0,"[10916.0, 10916.0, 10916.0, 10916.0, 10916.0]"
HashTable(50|chaining|fnv1a),2000,hash_bucket_len_after,41556.0,5,0.0,"[41556.0, 41556.0, 41556.0, 41556.0, 41556.0]"
HashTable(50|chaining|fnv1a),3000,hash_bucket_len_after,92366.0,5,0.0,"[92366.0, 92366.0, 92366.0, 92366.0, 92366.0]"
HashTable(50|chaining|fnv1a),4000,hash_bucket_len_after,163018.0,5,0.0,"[163018.0, 163018.0, 163018.0, 163018.0, 163018.0]"
HashTable(50|chaining|fnv1a),5000,hash_bucket_len_after,254074.0,5,0.0,"[254074.0, 254074.0, 254074.0, 254074.0, 254074.0]"
HashTable(50|chaining|fnv1a),6000,hash_bucket_len_after,365404.0,5,0.0,"[365404.0, 365404.0, 365404.0, 365404.0, 365404.0]"
HashTable(50|chaining|fnv1a),7000,hash_bucket_len_after,497248.0,5,0.0,"[497248.0, 497248.0, 497248.0, 497248.0, 497248.0]"
HashTable(50|chaining|fnv1a),8000,hash_bucket_len_after,647278.0,5,0.0,"[647278.0, 647278.0, 647278.0, 647278.0, 647278.0]"
HashTable(50|chaining|fnv1a),9000,hash_bucket_len_after,818178.0,5,0.0,"[818178.0, 818178.0, 818178.0, 818178.0, 818178.0]"
HashTable(50|chaining|fnv1a),10000,hash_bucket_len_after,1009924.0,5,0.0,"[1009924.0, 1009924.0, 1009924.0, 1009924.0, 1009924.0]"
HashTable(50|chaining|poly31),1000,hash_bucket_len_after,10526.0,5,0.0,"[10526.0, 10526.0, 10526.0, 10526.0, 10526.0]"
HashTable(50|chaining|poly31),2000,hash_bucket_len_after,41024.0,5,0.0,"[41024.0, 41024.0, 41024.0, 41024.0, 41024.0]"
HashTable(50|chaining|poly31),3000,hash_bucket_len_after,91524.0,5,0.0,"[91524.0, 91524.0, 91524.0, 91524.0, 91524.0]"
HashTable(50|chaining|poly31),4000,hash_bucket_len_after,162026.0,5,0.0,"[162026.0, 162026.0, 162026.0, 162026.0, 162026.0]"
HashTable(50|chaining|poly31),5000,hash_bucket_len_after,252520.0,5,0.0,"[252520.0, 252520.0, 252520.0, 252520.0, 252520.0]"
HashTable(50|chaining|poly31),6000,hash_bucket_len_after,363021.0,5,0.0,"[363021.0, 363021.0, 363021.0, 363021.0, 363021.0]"
HashTable(50|chaining|poly31),7000,hash_bucket_len_after,493524.0,5,0.0,"[493524.0, 493524.0, 493524.0, 493524.0, 493524.0]"
HashTable(50|chaining|poly31),8000,hash_bucket_len_after,644024.0,5,0.0,"[644024.0, 644024.0, 644024.0, 644024.0, 644024.0]"
HashTable(50|chaining|poly31),9000,hash_bucket_len_after,814526.0,5,0.0,"[814526.0, 814526.0, 814526.0, 814526.0, 814526.0]"
HashTable(50|chaining|poly31),10000,hash_bucket_len_after,1005040.0,5,0.0,"[1005040.0, 1005040.0, 1005040.0, 1005040.0, 1005040.0]"
