ds_name,instances,metric,mean_per_round,rounds,std_per_round
HashTable(100|chaining|poly31),10000,hash_collisions,9900.0,5,0.0
HashTable(150|chaining|djb2),1000,hash_collisions,850.0,5,0.0
HashTable(150|chaining|djb2),2000,hash_collisions,1850.0,5,0.0
HashTable(150|chaining|djb2),3000,hash_collisions,2850.0,5,0.0
HashTable(150|chaining|djb2),4000,hash_collisions,3850.0,5,0.0
HashTable(150|chaining|djb2),5000,hash_collisions,4850.0,5,0.0
HashTable(150|chaining|djb2),6000,hash_collisions,5850.0,5,0.0
HashTable(150|chaining|djb2),7000,hash_collisions,6850.0,5,0.0
HashTable(150|chaining|djb2),8000,hash_collisions,7850.0,5,0.0
HashTable(150|chaining|djb2),9000,hash_collisions,8850.0,5,0.0
HashTable(150|chaining|djb2),10000,hash_collisions,9850.0,5,0.0
HashTable(150|chaining|fnv1a),1000,hash_collisions,852.0,5,0.0
HashTable(150|chaining|fnv1a),2000,hash_collisions,1850.0,5,0.0
HashTable(150|chaining|fnv1a),3000,hash_collisions,2850.0,5,0.0
HashTable(150|chaining|fnv1a),4000,hash_collisions,3850.0,5,0.0
HashTable(150|chaining|fnv1a),5000,hash_collisions,4850.0,5,0.0
HashTable(150|chaining|fnv1a),6000,hash_collisions,5850.0,5,0.0
HashTable(150|chaining|fnv1a),7000,hash_collisions,6850.0,5,0.0
HashTable(150|chaining|fnv1a),8000,hash_collisions,7850.0,5,0.0
HashTable(150|chaining|fnv1a),9000,hash_collisions,8850.0,5,0.0
HashTable(150|chaining|fnv1a),10000,hash_collisions,9850.0,5,0.0
HashTable(150|chaining|poly31),1000,hash_collisions,872.0,5,0.0
HashTable(150|chaining|poly31),2000,hash_collisions,1865.0,5,0.0
HashTable(150|chaining|poly31),3000,hash_collisions,2860.0,5,0.0
HashTable(150|chaining|poly31),4000,hash_collisions,3856.0,5,0.0
HashTable(150|chaining|poly31),5000,hash_collisions,4852.0,5,0.0
HashTable(150|chaining|poly31),6000,hash_collisions,5850.0,5,0.0
HashTable(150|chaining|poly31),7000,hash_collisions,6850.0,5,0.0
HashTable(150|chaining|poly31),8000,hash_collisions,7850.0,5,0.0
HashTable(150|chaining|poly31),9000,hash_collisions,8850.0,5,0.0
HashTable(150|chaining|poly31),10000,hash_collisions,9850.0,5,0.0
HashTable(50|chaining|djb2),1000,hash_collisions,950.0,5,0.0
HashTable(50|chaining|djb2),2000,hash_collisions,1950.0,5,0.0
HashTable(50|chaining|djb2),3000,hash_collisions,2950.0,5,0.0
HashTable(50|chaining|djb2),4000,hash_collisions,3950.0,5,0.0
